"data";"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)"
1995-01-01;77,7
1995-04-01;78,1
1995-07-01;78,3
1995-10-01;78,6
1996-01-01;78,7
1996-04-01;79,3
1996-07-01;79,7
1996-10-01;80
1997-01-01;80,2
1997-04-01;81,2
1997-07-01;81,8
1997-10-01;82,7
1998-01-01;83,2
1998-04-01;83,6
1998-07-01;84,1
1998-10-01;84,2
1999-01-01;85
1999-04-01;85,5
1999-07-01;86,5
1999-10-01;87,5
2000-01-01;88,6
2000-04-01;89,4
2000-07-01;89,9
2000-10-01;90,5
2001-01-01;91,3
2001-04-01;91,3
2001-07-01;91,5
2001-10-01;91,6
2002-01-01;91,6
2002-04-01;92,1
2002-07-01;92,5
2002-10-01;92,6
2003-01-01;92,3
2003-04-01;92,3
2003-07-01;92,9
2003-10-01;93,5
2004-01-01;94
2004-04-01;94,6
2004-07-01;94,8
2004-10-01;95,1
2005-01-01;95,3
2005-04-01;95,9
2005-07-01;96,5
2005-10-01;97,1
2006-01-01;98
2006-04-01;99
2006-07-01;99,6
2006-10-01;100,8
2007-01-01;101,3
2007-04-01;102
2007-07-01;102,5
2007-10-01;103
2008-01-01;103,5
2008-04-01;103,1
2008-07-01;102,5
2008-10-01;100,8
2009-01-01;97,7
2009-04-01;97,6
2009-07-01;98
2009-10-01;98,5
2010-01-01;98,9
2010-04-01;99,9
2010-07-01;100,3
2010-10-01;100,9
2011-01-01;101,8
2011-04-01;101,8
2011-07-01;101,9
2011-10-01;101,5
2012-01-01;101,3
2012-04-01;100,9
2012-07-01;100,8
2012-10-01;100,4
2013-01-01;100
2013-04-01;100,5
2013-07-01;100,8
2013-10-01;101,1
2014-01-01;101,6
2014-04-01;101,8
2014-07-01;102,2
2014-10-01;102,7
2015-01-01;103,5
2015-04-01;103,9
2015-07-01;104,4
2015-10-01;104,8
2016-01-01;105,5
2016-04-01;105,8
2016-07-01;106,2
2016-10-01;107
2017-01-01;107,8
2017-04-01;108,5
2017-07-01;109,4
2017-10-01;110,2
2018-01-01;110,5
2018-04-01;110,9
2018-07-01;111,1
2018-10-01;111,5
2019-01-01;112
2019-04-01;112,2
2019-07-01;112,4
