"data";"PIB";"Consumo das famílias";"FBKF";"Gastos do Governo";"Exportações";"Importações"
1995-04-01;0,5;1;0,6;0,8;1,4;1,8
1995-07-01;0,2;-0,1;0,2;0,6;-0,9;0,4
1995-10-01;0,4;0,2;1;0,5;1,7;1,5
1996-01-01;0,1;0,9;-2,3;-0,1;1,6;0,4
1996-04-01;0,8;0,3;3,8;0,6;0,5;0,3
1996-07-01;0,5;0,5;0,5;0,8;1,9;1,2
1996-10-01;0,4;0,1;0,1;0,2;3;2,9
1997-01-01;0,2;0,3;-1;0,3;2,4;2,4
1997-04-01;1,3;0,8;1,9;0,5;3,5;2,8
1997-07-01;0,7;0,4;0,4;0,1;3,7;3,1
1997-10-01;1,1;1,2;2;-0,4;1,6;2,4
1998-01-01;0,6;0,4;1,9;1,4;2,1;3,4
1998-04-01;0,5;0,8;0,2;0,4;1,5;1,7
1998-07-01;0,6;1;1,8;0,3;0,1;1,3
1998-10-01;0,1;1;0,8;0,2;-0,6;1,3
1999-01-01;1;0,5;2;1,1;0,9;1,5
1999-04-01;0,6;0,9;1,4;-0,1;3;2,6
1999-07-01;1,2;0,9;1,8;0,4;2,9;2,6
1999-10-01;1,2;0,7;0,9;0,4;2,9;2,5
2000-01-01;1,3;0,9;1,8;1,3;4;3,2
2000-04-01;0,9;0,8;0,9;0,2;3,1;3,5
2000-07-01;0,5;0,3;1,1;0,6;2,5;2,8
2000-10-01;0,6;0,2;0,1;0,4;3,7;3,5
2001-01-01;1;1;0,8;1,1;-0,1;-1,4
2001-04-01;0,1;0,2;-0,3;0,2;-0,7;-0,2
2001-07-01;0,1;0,3;-0,7;0,3;-0,3;-1
2001-10-01;0,1;0,2;-0,4;1;-0,1;-1
2002-01-01;0;-0,1;-0,3;0,2;0,9;0,4
2002-04-01;0,6;0;-1,1;0,7;1,4;0,9
2002-07-01;0,4;0,5;0,4;0,7;0,9;0,6
2002-10-01;0,2;0,6;0,5;0,3;0,6;1,3
2003-01-01;-0,4;-0,1;0;0,3;-1,5;0,6
2003-04-01;0,1;0,2;0,1;0,5;-0,5;-0,3
2003-07-01;0,5;0,6;0,7;0,6;1,7;0,7
2003-10-01;0,7;0,2;1;0,3;2,3;2,6
2004-01-01;0,5;0,6;0;0;2,3;1,2
2004-04-01;0,6;0,2;0,7;0,5;2,9;2,3
2004-07-01;0,2;0,1;0,1;0,5;0,2;1,5
2004-10-01;0,3;0,8;0,3;0,2;1,3;1,4
2005-01-01;0,2;0,4;0,3;0,4;0,6;0,1
2005-04-01;0,6;0,6;1,7;0,6;1,6;2,7
2005-07-01;0,7;0,5;1,1;0,2;2,3;1,8
2005-10-01;0,6;0,5;0,8;0,1;1,9;2,3
2006-01-01;0,9;0,5;1,2;1,1;2,6;2,6
2006-04-01;1,1;0,5;2,4;0,3;2,1;1,7
2006-07-01;0,6;0,3;0,7;0,4;1,3;0,8
2006-10-01;1,2;1;2,3;0,8;3,1;2,9
2007-01-01;0,6;-0,2;1,2;0,5;1,1;1,5
2007-04-01;0,7;0,8;0,4;0,6;1,6;0,9
2007-07-01;0,4;0,4;0,6;0,4;1,5;2,1
2007-10-01;0,5;0,3;1,7;0,7;0,6;1,1
2008-01-01;0,5;-0,1;-0,5;0,9;1,2;-0,3
2008-04-01;-0,4;-0,1;-1,6;0,8;-0,3;-0,3
2008-07-01;-0,5;-0,3;-1,2;0,1;-1,1;-0,5
2008-10-01;-1,7;-0,5;-2,9;0,7;-5,9;-4,6
2009-01-01;-3,1;-0,5;-5,9;1;-8,8;-7,4
2009-04-01;0;0,1;-2,4;0,4;-0,6;-2,4
2009-07-01;0,4;0;-0,5;0,7;2,5;2,5
2009-10-01;0,5;0,2;0,1;0;2,5;1,7
2010-01-01;0,4;0,3;-1,3;0,4;2,4;2,9
2010-04-01;1;0,3;2,2;-0,2;4,8;4,6
2010-07-01;0,4;0,1;-0,1;0,3;1,8;1
2010-10-01;0,6;0,4;0;-0,1;2,1;1,8
2011-01-01;0,8;0;1,4;-0,2;1,9;1,5
2011-04-01;0;-0,4;-0,2;0,1;0,6;0,1
2011-07-01;0,1;0,1;0;0;0,8;0,2
2011-10-01;-0,4;-0,5;-0,5;0;0;-1,5
2012-01-01;-0,2;-0,1;-1,3;-0,1;0,9;0,2
2012-04-01;-0,3;-0,5;-0,7;-0,2;0,8;-0,3
2012-07-01;-0,1;-0,3;-1,3;-0,1;0,9;-0,1
2012-10-01;-0,4;-0,3;-1;0;-0,4;-0,7
2013-01-01;-0,4;-0,4;-2,1;0,1;-0,1;0,1
2013-04-01;0,5;0,2;1;0,1;1,1;1,3
2013-07-01;0,3;0,1;0,8;0,3;1,1;1,5
2013-10-01;0,2;0,2;0,8;0,1;1;0,8
2014-01-01;0,5;0;0,2;0,2;1;1,1
2014-04-01;0,2;0,2;-0,7;0,2;1,1;1,5
2014-07-01;0,5;0,6;0,6;0,3;1,9;1,5
2014-10-01;0,4;0,5;0,4;0,1;1,4;1,1
2015-01-01;0,7;0,4;0,1;0,4;3,3;3,1
2015-04-01;0,4;0,6;7,5;0,3;0,5;3,4
2015-07-01;0,5;0,4;-4,5;0,4;0,4;-1,5
2015-10-01;0,4;0,3;2,9;0,8;0,8;2,1
2016-01-01;0,6;0,7;0,8;0,6;0,4;0,7
2016-04-01;0,3;0,3;1;0,3;1,2;1,3
2016-07-01;0,4;0,4;0,6;0,4;0,7;0,6
2016-10-01;0,8;0,6;1,6;0,4;1,4;1,9
2017-01-01;0,7;0,4;-1,5;0,2;1,8;0,7
2017-04-01;0,7;0,4;7,5;0,3;1,3;4,1
2017-07-01;0,8;0,6;-4,5;0,6;1,4;-2,2
2017-10-01;0,8;0,3;1;0,2;2,3;1,8
2018-01-01;0,3;0,4;0,4;0,2;-0,6;-0,3
2018-04-01;0,4;0,2;1,3;0,4;1;1,3
2018-07-01;0,2;0,2;0,8;0,1;0,4;1
2018-10-01;0,3;0,4;1,6;0,4;0,9;1,1
2019-01-01;0,4;0,3;0,5;0,4;1,1;0,4
2019-04-01;0,2;0,2;5,6;0,4;0,2;2,8
2019-07-01;0,2;NA;NA;NA;NA;NA
