"data";"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply";"Manufacturing";"Electricity, gas, steam and air conditioning supply"
1991-01-01;81,6;80;80,8
1991-04-01;80,7;78,9;81,8
1991-07-01;80,2;78,6;79,7
1991-10-01;81;79,3;82,5
1992-01-01;81,8;80,1;83,1
1992-04-01;80,7;78,9;81,7
1992-07-01;78,7;76,9;81,4
1992-10-01;77,4;75,6;81,1
1993-01-01;76,3;74,2;81,9
1993-04-01;75,2;73,2;80,9
1993-07-01;75,3;73,2;80,8
1993-10-01;76;73,8;83,5
1994-01-01;76,9;75,1;81,6
1994-04-01;78,7;76,8;84,1
1994-07-01;79,6;77,6;84,8
1994-10-01;81,5;79,8;82,8
1995-01-01;81,8;80;84,7
1995-04-01;82,2;80,3;86
1995-07-01;82,2;80,3;85,7
1995-10-01;82;80,1;85,8
1996-01-01;81,7;79,5;89,7
1996-04-01;81,6;79,5;87,6
1996-07-01;81,9;79,9;87,6
1996-10-01;82,2;80,1;88,8
1997-01-01;83,2;81,3;88,1
1997-04-01;84,9;83;89,9
1997-07-01;86,3;84,5;89,9
1997-10-01;87,5;85,7;90,6
1998-01-01;88,6;87;89,4
1998-04-01;89,1;87,5;91,2
1998-07-01;89,1;87,4;91,9
1998-10-01;88,6;86,6;93,3
1999-01-01;88,9;87;92,4
1999-04-01;89,4;87,6;92,4
1999-07-01;90,9;89;94,7
1999-10-01;92,5;90,6;96,6
2000-01-01;93;91,1;97,3
2000-04-01;95,1;93,4;97,8
2000-07-01;95,9;94,2;99
2000-10-01;97,1;95,8;97,2
2001-01-01;97;95,7;97,4
2001-04-01;96,1;94,2;99,2
2001-07-01;95,6;93,7;100,2
2001-10-01;94;91,9;101,3
2002-01-01;94,7;92,9;99,1
2002-04-01;95,6;93,4;102,1
2002-07-01;95,6;93,5;101,3
2002-10-01;95,3;93,3;101,3
2003-01-01;95,9;93,5;104,8
2003-04-01;94,8;92,5;104,5
2003-07-01;95;92,7;104,3
2003-10-01;96,8;94,5;103,8
2004-01-01;97;94,5;106,2
2004-04-01;97,9;95,6;106,1
2004-07-01;97,8;95,5;106,6
2004-10-01;97,9;95,5;108
2005-01-01;98,2;95,9;108,1
2005-04-01;98,9;96,5;108,3
2005-07-01;99,3;97,2;108
2005-10-01;100,7;98,6;109,6
2006-01-01;101,5;99;112,9
2006-04-01;103,3;101,4;109,1
2006-07-01;103,7;102,2;110,1
2006-10-01;104,9;103,5;106,8
2007-01-01;106,3;105,2;105,7
2007-04-01;106,8;105,3;109
2007-07-01;107,9;106,5;109,7
2007-10-01;108,5;106,8;112,1
2008-01-01;109,3;108,2;107,7
2008-04-01;108,1;106,4;111,9
2008-07-01;105,5;103,9;110,2
2008-10-01;98,6;96,7;107,3
2009-01-01;89,3;86,7;104,6
2009-04-01;88,2;86;101,6
2009-07-01;90,2;87,8;104,7
2009-10-01;91,5;89,2;104,6
2010-01-01;93,4;90,8;108,7
2010-04-01;96;93,9;107,2
2010-07-01;96,8;95;106,5
2010-10-01;98,9;97;110
2011-01-01;99,8;98,5;106,6
2011-04-01;99,8;98,9;103,2
2011-07-01;99,8;98,8;103,8
2011-10-01;98,8;98;101,8
2012-01-01;98,2;97;104
2012-04-01;97,7;96,4;104,8
2012-07-01;97,6;96,6;103,2
2012-10-01;95,5;94,5;101,6
2013-01-01;95,7;94,2;104,5
2013-04-01;96,8;95,5;103,4
2013-07-01;96,4;95,4;100,8
2013-10-01;96,9;96,2;100,7
2014-01-01;97,2;97,1;96,5
2014-04-01;97,9;97,6;98,3
2014-07-01;97,3;97;98
2014-10-01;97,4;97,2;96,9
2015-01-01;99,6;99,3;100,4
2015-04-01;100,2;100,3;99,7
2015-07-01;100,3;100,2;101,6
2015-10-01;100;100,2;98,3
2016-01-01;101,7;102;99,8
2016-04-01;101,1;101,2;101
2016-07-01;101,3;101,5;101,6
2016-10-01;102,7;102,8;103,6
2017-01-01;102,7;102,8;102,5
2017-04-01;103,7;104;103,2
2017-07-01;105,4;105,9;103,5
2017-10-01;106,9;107,5;104,4
2018-01-01;105,9;106,4;104,3
2018-04-01;106;106,8;101,4
2018-07-01;106;106,7;103,2
2018-10-01;104,7;105,6;101,8
2019-01-01;105,3;106,1;101,9
2019-04-01;104,6;105,3;103,2
2019-07-01;103,9;104,7;102,1
